Number,ISLAND,FID,timeYrs,Delta,Censorship,Area_ha_Cov1,Area_Cov1_LogTrans,Latitude_Cov2,Erad_Numb_Cov3,EradNumb_Cov2_logx+1
385,Taranaki,8001,117,0,Right Censored,0.221263215,-0.655090782,-35.203763,1,0.301029996
386,Te Ao,7857,117,0,Right Censored,1.184838004,0.073658976,-35.227264,2,0.477121255
387,Tern Rock,8032,117,0,Right Censored,1.424156794,0.153557806,-35.199281,2,0.477121255
388,Unnamed Cape Wiwiki A (Snail Rock),8116,117,0,Right Censored,0.535143256,-0.271529943,-35.153885,4,0.698970004
389,Unnamed Cape Wiwiki B (Gorse Island),8126,117,0,Right Censored,0.208033653,-0.681866405,-35.15272,3,0.602059991
390,Waimate,6403,117,0,Right Censored,69.50055234,1.841988256,-36.762622,3,0.602059991
391,Wainui,8036,117,0,Right Censored,1.864943359,0.270665646,-35.198928,1,0.301029996
392,West Atoll,8015,117,0,Right Censored,1.575927037,0.197536107,-35.202153,2,0.477121255
393,West Tern Rock,8029,117,0,Right Censored,0.307649102,-0.511944349,-35.199467,2,0.477121255
394,Whanganui,387,117,0,Right Censored,284.4431181,2.453995431,-36.785833,2,0.477121255
395,Wood,7124,117,0,Right Censored,1.461810825,0.164891174,-36.15243,1,0.301029996
396,Wood Stack A,7123,117,0,Right Censored,0.322710543,-0.491186847,-36.151974,1,0.301029996
